Student_ID,Name,Gender,Age,Math,Science,English,Attendance,Total,Average
1,Aarav,M,18,78,82,75,92,235,78.33333333333333
2,Ananya,F,19,91,88,95,97,274,91.33333333333333
3,Rahul,M,18,65,72,68,85,205,68.33333333333333
4,Priya,F,20,84,79,87,94,250,83.33333333333333
5,Vikram,M,19,45,52,48,73,145,48.333333333333336
6,Sneha,F,18,76,81,80,90,237,79.0
7,Kabir,M,20,93,95,91,98,279,93.0
8,Meera,F,19,58,63,60,80,181,60.333333333333336
9,Arjun,M,18,34,41,39,69,114,38.0
10,Diya,F,19,88,90,92,96,270,90.0
11,Rohan,M,20,71,69,74,88,214,71.33333333333333
12,Isha,F,18,82,85,84,93,251,83.66666666666667
13,Karan,M,19,55,49,58,76,162,54.0
14,Neha,F,20,97,96,99,99,292,97.33333333333333
15,Aditya,M,18,62,66,64,82,192,64.0
16,Pooja,F,19,73,77,79,89,229,76.33333333333333
17,Yash,M,20,40,38,44,71,122,40.666666666666664
18,Simran,F,18,86,83,88,95,257,85.66666666666667
19,Dev,M,19,69,74,70,87,213,71.0
20,Riya,F,20,94,92,96,98,282,94.0
